issue_month,grade,purpose,total_cnt,bad_rate,grade_avg_rate,ratio
2015-01-01,A,car,47,6.382978723404255,3.282474302988035,1.9445631966086778
2015-01-01,A,credit_card,2173,5.476300046019328,3.282474302988035,1.6683451386151764
2015-01-01,A,debt_consolidation,3330,5.225225225225225,3.282474302988035,1.591855637824401
2015-01-01,A,home_improvement,274,4.37956204379562,3.282474302988035,1.3342258429285818
2015-01-01,A,major_purchase,91,4.395604395604396,3.282474302988035,1.3391131170785036
2015-01-01,A,other,86,5.813953488372093,3.282474302988035,1.7712106635776714
2015-01-01,B,car,63,6.349206349206349,7.9361682568340015,0.8000342411766426
2015-01-01,B,credit_card,2648,12.197885196374623,7.9361682568340015,1.5369993177590164
2015-01-01,B,debt_consolidation,5499,13.129659938170576,7.9361682568340015,1.6544079602728117
2015-01-01,B,home_improvement,410,10.731707317073171,7.9361682568340015,1.352252997891252
2015-01-01,B,major_purchase,125,12.0,7.9361682568340015,1.5120647158238545
2015-01-01,B,medical,46,8.695652173913043,7.9361682568340015,1.0956990694375757
2015-01-01,B,other,285,8.070175438596491,7.9361682568340015,1.016885627600838
2015-01-01,B,vacation,31,9.67741935483871,7.9361682568340015,1.2194070288902052
2015-01-01,C,car,63,9.523809523809524,13.199692948113462,0.7215175050848962
2015-01-01,C,credit_card,1937,21.06350025813113,13.199692948113462,1.595756836233193
2015-01-01,C,debt_consolidation,6603,19.157958503710436,13.199692948113462,1.4513942543222982
2015-01-01,C,home_improvement,417,17.26618705035971,13.199692948113462,1.3080749013049917
2015-01-01,C,major_purchase,132,19.696969696969695,13.199692948113462,1.4922293855164899
2015-01-01,C,medical,105,19.047619047619047,13.199692948113462,1.4430350101697924
2015-01-01,C,moving,63,14.285714285714285,13.199692948113462,1.0822762576273444
2015-01-01,C,other,498,15.863453815261044,13.199692948113462,1.2018047599757458
2015-01-01,C,small_business,72,13.88888888888889,13.199692948113462,1.0522130282488071
2015-01-01,C,vacation,57,14.035087719298245,13.199692948113462,1.0632889548619522
2015-01-01,D,credit_card,781,29.321382842509603,18.88392967228072,1.5527161640275424
2015-01-01,D,debt_consolidation,4126,26.90256907416384,18.88392967228072,1.424627688253547
2015-01-01,D,home_improvement,258,29.457364341085274,18.88392967228072,1.559917075116259
2015-01-01,D,house,34,11.76470588235294,18.88392967228072,0.6230009371207349
2015-01-01,D,major_purchase,87,33.33333333333333,18.88392967228072,1.765169321842082
2015-01-01,D,medical,67,23.88059701492537,18.88392967228072,1.2645989171405962
2015-01-01,D,moving,53,22.641509433962266,18.88392967228072,1.1989829355908486
2015-01-01,D,other,367,23.705722070844686,18.88392967228072,1.255338400547094
2015-01-01,D,small_business,80,28.749999999999996,18.88392967228072,1.522458540088796
2015-01-01,D,vacation,40,22.5,18.88392967228072,1.1914892922434057
2015-01-01,E,credit_card,339,32.743362831858406,26.68775204771489,1.226905989433532
2015-01-01,E,debt_consolidation,2028,35.84812623274162,26.68775204771489,1.3432426293772868
2015-01-01,E,home_improvement,153,31.372549019607842,26.68775204771489,1.17554108579535
2015-01-01,E,major_purchase,50,34.0,26.68775204771489,1.2739926517307107
2015-01-01,E,other,179,34.63687150837989,26.68775204771489,1.2978564641357881
2015-01-01,E,small_business,58,36.206896551724135,26.68775204771489,1.356685886731487
2015-01-01,F,credit_card,68,35.294117647058826,34.89234449760766,1.0115146504265058
2015-01-01,F,debt_consolidation,602,42.857142857142854,34.89234449760766,1.228267789803614
2015-01-01,F,home_improvement,54,42.592592592592595,34.89234449760766,1.220685889866555
2015-01-01,F,other,58,39.6551724137931,34.89234449760766,1.1365006560826545
2015-01-01,G,debt_consolidation,161,47.20496894409938,38.06706114398422,1.2400476297750458
2015-02-01,A,car,46,4.3478260869565215,3.282474302988035,1.3245575397189544
2015-02-01,A,credit_card,1633,5.695039804041642,3.282474302988035,1.73498381963187
2015-02-01,A,debt_consolidation,2306,5.85429314830876,3.282474302988035,1.7835000697429981
2015-02-01,A,home_improvement,226,4.867256637168142,3.282474302988035,1.4828011395968825
2015-02-01,A,major_purchase,72,2.7777777777777777,3.282474302988035,0.8462450948204431
2015-02-01,A,other,73,4.10958904109589,3.282474302988035,1.2519790443918883
2015-02-01,B,car,62,12.903225806451612,7.9361682568340015,1.6258760385202737
2015-02-01,B,credit_card,1878,11.022364217252397,7.9361682568340015,1.3888773348222307
2015-02-01,B,debt_consolidation,3743,11.995725353994123,7.9361682568340015,1.5115260873740108
