grade,purpose,total_cnt,bad_rate,grade_avg_rate,ratio,avg_dti,avg_amnt
A,car,6166,3.227375932533247,3.282474302988035,0.9832143787372128,13.417131732641142,8546.45231916964
A,credit_card,140508,3.129359182395308,3.282474302988035,0.9533537488920031,16.672634806016106,14890.309626498136
A,debt_consolidation,205916,3.387303560675227,3.282474302988035,1.0319360482401234,16.715686975790373,15481.05720293712
A,home_improvement,34528,2.9541241890639482,3.282474302988035,0.8999687176148827,14.89736012060069,13823.601135310473
A,house,2579,2.44280728964715,3.282474302988035,0.744196927123988,12.093958898797986,15701.977510663048
A,major_purchase,11456,3.34322625698324,3.282474302988035,1.0185079755049118,13.194632314410478,11521.381808659218
A,medical,4459,3.610675039246468,3.282474302988035,1.0999857747430564,15.66196316262354,9441.483516483517
A,moving,1746,4.352806414662084,3.282474302988035,1.3260747877598695,15.248548479632818,9093.671248568156
A,other,19571,3.173062183843442,3.282474302988035,0.9666677911095921,14.611897310013298,10797.219099688315
A,renewable_energy,179,6.70391061452514,3.282474302988035,2.0423345305163765,14.853296089385475,11342.31843575419
A,small_business,2963,6.041174485318933,3.282474302988035,1.8404331390560025,12.830246704967893,16649.468444144448
A,vacation,2419,4.175279040926003,3.282474302988035,1.2719913868404842,15.680049648324363,6541.639107069037
A,wedding,449,4.8997772828507795,3.282474302988035,1.4927084968770399,12.646391982182632,9251.781737193764
B,car,7385,6.811103588354774,7.9361682568340015,0.8582357843143748,15.336035486929434,9039.871360866622
B,credit_card,176750,7.775388967468174,7.9361682568340015,0.9797409424595582,18.480614676614074,14449.154738330975
B,debt_consolidation,361873,8.166677259701608,7.9361682568340015,1.0290453774929873,18.299433855308738,14884.121915699707
B,educational,112,18.75,7.9361682568340015,2.362601118474773,11.285892857142855,6883.928571428572
B,home_improvement,44325,7.415679639029893,7.9361682568340015,0.9344156271692067,16.71748147980848,13727.139875916526
B,house,3282,5.7586837294332724,7.9361682568340015,0.7256252064054147,14.005634533251984,16021.282754418038
B,major_purchase,14638,7.828938379560049,7.9361682568340015,0.9864884571743279,15.021111490874297,12040.386323268205
B,medical,7306,7.993430057486997,7.9361682568340015,1.0072152956943279,17.67165365118509,9092.01341363263
B,moving,3402,9.082892416225748,7.9361682568340015,1.144493428349919,16.181497200117892,8107.502939447384
B,other,34451,6.824185074453572,7.9361682568340015,0.8598841221110859,16.5144419266748,10184.482308205857
B,renewable_energy,321,9.657320872274143,7.9361682568340015,1.2168745116962485,15.565607476635513,10758.177570093458
B,small_business,4887,10.967873951299365,7.9361682568340015,1.3820112674469445,14.615310260086012,16249.38612645795
B,vacation,4271,8.218215874502459,7.9361682568340015,1.0355395209048877,17.562504099320684,6206.029033013346
B,wedding,554,10.288808664259928,7.9361682568340015,1.2964453790908501,13.367833935018052,10305.460288808665
C,car,6240,10.945512820512821,13.199692948113462,0.8292248057237714,16.531618543471286,9722.123397435897
C,credit_card,130553,13.057532189991806,13.199692948113462,0.989229995070304,20.46339434913916,15814.046977089763
C,debt_consolidation,387312,13.575618622712437,13.199692948113462,1.028479880257571,19.92786924895671,15863.771068286032
C,educational,115,20.0,13.199692948113462,1.515186760678282,10.99008695652174,7391.086956521739
C,home_improvement,40963,12.379464394697653,13.199692948113462,0.9378600277567033,17.8191241999316,14705.778385372165
C,house,3541,10.08189776899181,13.199692948113462,0.763797901104415,16.00454057110546,15599.985879695001
C,major_purchase,13541,12.015360756221845,13.199692948113462,0.9102757771300366,16.49034136249445,12606.982497599882
C,medical,8320,13.557692307692307,13.199692948113462,1.0271217944982585,18.89614024536925,9175.14423076923
C,moving,4785,12.810867293625913,13.199692948113462,0.9705428258054198,18.011505759162304,8178.437826541275
C,other,42119,11.683563237493768,13.199692948113462,0.8851390167499023,17.83442250576187,9889.050665970228
C,renewable_energy,419,12.410501193317423,13.199692948113462,0.940211355074829,16.833412887828164,9979.236276849642
C,small_business,6671,15.739769150052465,13.199692948113462,1.1924344916145977,15.27514397120576,15821.619697196822
C,vacation,4978,11.872237846524708,13.199692948113462,0.8994328802338938,19.13670148654078,6059.848332663721
C,wedding,496,12.5,13.199692948113462,0.9469917254239263,13.965463709677419,10101.360887096775
D,car,2891,15.288827395364926,18.88392967228072,0.8096210725571087,17.385249134948097,10018.497059840885
D,credit_card,48764,18.65105405627102,18.88392967228072,0.9876680532044381,22.197903768782346,16793.696169305225
D,debt_consolidation,200927,19.58024556182096,18.88392967228072,1.0368734633958283,21.569540304902347,16748.821835791106
D,home_improvement,19267,16.63466029999481,18.88392967228072,0.8808897612244575,18.644382244399385,15763.068978045363
D,house,2465,16.267748478701826,18.88392967228072,0.8614599165014301,16.246163215590737,15023.732251521298
D,major_purchase,6875,17.81818181818182,18.88392967228072,0.9435632374937678,17.16751528384279,13738.74909090909
D,medical,4777,18.233200753611055,18.88392967228072,0.9655405982778651,20.58304694048617,9364.475612308981
D,moving,3276,19.078144078144078,18.88392967228072,1.0102846393326936,18.4708687672071,7691.796398046398
D,other,26434,16.22909888779602,18.88392967228072,0.8594132243363699,18.83278206875664,10221.417492623137
D,renewable_energy,298,19.798657718120804,18.88392967228072,1.0484394965303643,17.937946127946127,10231.291946308726
D,small_business,5220,22.739463601532567,18.88392967228072,1.2041701063370986,15.80363618938087,15981.115900383142
D,vacation,2671,15.986521901909398,18.88392967228072,0.8465675407262103,20.00355056179774,6367.540247098465
D,wedding,506,15.217391304347828,18.88392967228072,0.8058381686670377,15.095810276679845,9976.333992094862
E,car,987,21.37791286727457,26.68775204771489,0.8010383500660945,17.34774062816616,11865.856129685917
E,credit_card,15775,26.795562599049127,26.68775204771489,1.0040397014758486,23.342019541907256,18674.095087163234
E,debt_consolidation,87262,27.624853888290435,26.68775204771489,1.0351135546710755,22.546674389264826,18521.25237789645
E,home_improvement,8120,24.16256157635468,26.68775204771489,0.9053801733901965,18.127829514658785,18208.854679802957
E,house,1370,22.48175182481752,26.68775204771489,0.8423996065544417,16.417452554744525,15553.923357664233
E,major_purchase,2784,25.395114942528735,26.68775204771489,0.9515644066658347,17.18751617541337,15973.168103448275
E,medical,1919,22.876498176133403,26.68775204771489,0.8571908992272047,19.40727035490605,11001.66753517457
E,moving,1517,25.181278839815423,26.68775204771489,0.9435518883266731,17.975353135313533,8925.411997363217
E,other,11556,22.68951194184839,26.68775204771489,0.8501844554491488,18.709099722991688,11599.208203530634
E,renewable_energy,151,22.516556291390728,26.68775204771489,0.8437037428680203,19.715562913907284,12188.079470198676
E,small_business,3009,31.272848122299767,26.68775204771489,1.1718052560735428,15.46690721649484,16976.379195746096
E,vacation,931,21.58968850698174,26.68775204771489,0.8089736620896976,20.112298603651986,7230.31686358754
E,wedding,221,19.90950226244344,26.68775204771489,0.746016458293203,14.664751131221719,11890.045248868779
F,car,275,33.45454545454545,34.89234449760766,0.958793280767912,16.121272727272725,14105.90909090909
F,credit_card,3757,32.97844024487623,34.89234449760766,0.9451483045840428,23.721505061267983,20573.609262709608
F,debt_consolidation,26993,36.38721149927759,34.89234449760766,1.0428422630578011,22.953976493270527,20107.967806468343
F,home_improvement,2514,31.18536197295147,34.89234449760766,0.8937594312439981,18.329832869080786,20375.656324582338
F,house,597,29.48073701842546,34.89234449760766,0.8449055929860707,16.09726510067114,16378.643216080402
F,major_purchase,894,35.4586129753915,34.89234449760766,1.016229017738337,18.426040268456376,18811.9966442953
F,medical,575,30.434782608695656,34.89234449760766,0.8722481405851754,18.441791304347827,13046.782608695652
F,moving,530,31.32075471698113,34.89234449760766,0.8976397306615091,16.63133962264151,10961.745283018869
F,other,3944,30.73022312373225,34.89234449760766,0.880715342181699,18.638549327922906,14071.234787018255
F,small_business,1337,37.322363500373974,34.89234449760766,1.0696433282931999,15.807980553477936,18370.923709798055
F,vacation,211,24.644549763033176,34.89234449760766,0.7063024889234053,19.64402843601896,8789.218009478673
F,wedding,103,21.35922330097087,34.89234449760766,0.6121464065687915,15.124466019417477,16123.058252427185
G,credit_card,864,35.76388888888889,38.06706114398422,0.9394969775474958,24.842784222737826,21276.18634259259
G,debt_consolidation,7594,38.833289439030814,38.06706114398422,1.0201283806004469,24.08962938538644,21203.446800105346
G,home_improvement,740,33.37837837837838,38.06706114398422,0.876830976053774,18.11233783783784,21199.594594594593
G,house,302,34.7682119205298,38.06706114398422,0.913341111072985,20.757350993377482,18388.576158940396
G,major_purchase,257,36.18677042801556,38.06706114398422,0.9506058345597871,18.52284046692607,19754.08560311284
G,medical,132,40.15151515151515,38.06706114398422,1.054757418747056,20.486742424242426,16782.765151515152
G,moving,147,39.455782312925166,38.06706114398422,1.0364809136089668,16.895986394557823,14303.91156462585
G,other,1365,35.97069597069597,38.06706114398422,0.9449296817172466,19.30465150403522,16892.380952380954
G,small_business,602,43.18936877076412,38.06706114398422,1.1345601019055653,15.92164725457571,20928.986710963454
